,Date,AAPL,GOOG,META,MSFT
760,1983-12-14,0.104353,,,
761,1983-12-15,0.108817,,,
762,1983-12-16,0.110491,,,
763,1983-12-19,0.107143,,,
764,1983-12-20,0.104353,,,
765,1983-12-21,0.108259,,,
766,1983-12-22,0.110491,,,
767,1983-12-23,0.109933,,,
768,1983-12-27,0.110491,,,
769,1983-12-28,0.111607,,,
770,1983-12-29,0.108817,,,
771,1983-12-30,0.108817,,,
772,1984-01-03,0.114397,,,
773,1984-01-04,0.124442,,,
774,1984-01-05,0.126116,,,
775,1984-01-06,0.123884,,,
776,1984-01-09,0.117188,,,
777,1984-01-10,0.123326,,,
778,1984-01-11,0.125,,,
779,1984-01-12,0.124442,,,
780,1984-01-13,0.121652,,,
781,1984-01-16,0.124442,,,
782,1984-01-17,0.12779,,,
783,1984-01-18,0.128348,,,
784,1984-01-19,0.129464,,,
785,1984-01-20,0.12779,,,
786,1984-01-23,0.128906,,,
787,1984-01-24,0.121652,,,
788,1984-01-25,0.120536,,,
789,1984-01-26,0.123326,,,
790,1984-01-27,0.116629,,,
791,1984-01-30,0.110491,,,
792,1984-01-31,0.110491,,,
793,1984-02-01,0.109933,,,
794,1984-02-02,0.111049,,,
795,1984-02-03,0.109375,,,
796,1984-02-06,0.103795,,,
797,1984-02-07,0.107701,,,
798,1984-02-08,0.103795,,,
799,1984-02-09,0.105469,,,
800,1984-02-10,0.108817,,,
801,1984-02-13,0.108259,,,
802,1984-02-14,0.114397,,,
803,1984-02-15,0.112165,,,
804,1984-02-16,0.113281,,,
805,1984-02-17,0.111607,,,
806,1984-02-21,0.116629,,,
807,1984-02-22,0.12221,,,
808,1984-02-23,0.119978,,,
809,1984-02-24,0.121094,,,
810,1984-02-27,0.120536,,,
811,1984-02-28,0.113839,,,
812,1984-02-29,0.117188,,,
813,1984-03-01,0.120536,,,
814,1984-03-02,0.121652,,,
815,1984-03-05,0.11942,,,
816,1984-03-06,0.114955,,,
